CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
00-05-0025-46,01-314,CIUDAD CAPITAL,ZONA 5,COLEGIO MADRID,30 CALLE 22-38,35131111,PLINIO IVAN HERNANDEZ,JOSÉ RAFAEL VILLELA BOLLATH,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
00-05-0029-46,01-313,CIUDAD CAPITAL,ZONA 5,COLEGIO LOS NIÑOS DE SANTA MARIA,36 AVENIDA 12-37 JARDINES DE LA ASUNCIÓN,23349314,ERICK GUILLERMO SANCHEZ MARTINEZ,LAURA VERÓNICA MONZÓN CÁRCAMO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
00-05-0031-46,01-504,CIUDAD CAPITAL,ZONA 5,INSTITUTO NACIONAL DE FORMACIÓN TÉCNICA,"28 AVENIDA ""A"" 33-50",55599573,DAVID SOTOJ SANCHEZ,ANA DE CORONADO,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),GUATEMALA ORIENTE
00-05-0033-46,01-313,CIUDAD CAPITAL,ZONA 5,COLEGIO SAN AGUSTIN,21 CALLE 32-38 COLONIA LA PALMITA GUATEMALA,23356656,ERICK GUILLERMO SANCHEZ MARTINEZ,ESTEFANY VICTORIA COROY ALBEÑO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
00-05-0038-46,01-313,CIUDAD CAPITAL,ZONA 5,CENTRO ESCOLAR LILIAN PATRICIA DIEGUEZ DE ROSALES,11 AVENIDA ENTRE 26 Y 27 CALLE,46109455,ERICK GUILLERMO SANCHEZ MARTINEZ,INGRID LISBETH SOLORZANO SOLIS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,SEMIPRESENCIAL,GUATEMALA ORIENTE
00-05-0454-46,01-504,CIUDAD CAPITAL,ZONA 5,INSTITUTO NACIONAL DE FORMACION TECNICA,28 AVE. A 33-50,23355168,DAVID SOTOJ SANCHEZ,,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
00-05-0455-46,01-504,CIUDAD CAPITAL,ZONA 5,INSTITUTO DIVERSIFICADO CENTRAL DE MERCADOTECNIA Y PUBLICIDAD,42 AVENIDA 20-00,23350777,DAVID SOTOJ SANCHEZ,FERNANDO MAURICIO RUANO MARROQUÍN,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
00-05-0457-46,01-314,CIUDAD CAPITAL,ZONA 5,ESCUELA PROFESIONAL SAN VICENTE DE PAUL,17 AVE 31-00,23391272,PLINIO IVAN HERNANDEZ,FERNANDO MAURICIO RUANO MARROQUIN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
00-05-0458-46,01-405,CIUDAD CAPITAL,ZONA 5,CENTRO EDUCACIONAL MINERVA CEDMA,13 AVENIDA 25-74,23325242,BLANCA SARAI GUTIERREZ PINEDA,MARIA DEL SOCORRO TANCHEZ ROJAS DE DE LEON,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA ORIENTE
00-05-2214-46,01-314,CIUDAD CAPITAL,ZONA 5,INSTITUTO PRIVADO DE EDUCACION DIVERSIFICADA LICEO GUATEMALA,10A AVE. 33-03,22095400,PLINIO IVAN HERNANDEZ,ERICKA DEL ROSARIO DARDÓN PAREDES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
00-05-2481-46,01-313,CIUDAD CAPITAL,ZONA 5,INSTITUTO GUATEMALTECO ESPAÑOL,DIAGONAL 14 23-55 COL VIVIBIEN,23321393,ERICK GUILLERMO SANCHEZ MARTINEZ,MIGUEL JOSÉ RALÓN ROSALES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
00-05-2490-46,01-405,CIUDAD CAPITAL,ZONA 5,LICEO GUATEMALA JORNADA NOCTURNA E INTERMEDIA,10A AV 33-03,23341680,BLANCA SARAI GUTIERREZ PINEDA,RICARDO ORTIZ ROMERO,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,INTERMEDIA,DIARIO(REGULAR),GUATEMALA ORIENTE
00-05-2912-46,,CIUDAD CAPITAL,ZONA 5,LICEO MIXTO DE EDUCACION INTEGRAL,11 AV. 'A' 27-65,,,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
00-05-3067-46,01-313,CIUDAD CAPITAL,ZONA 5,CENTRO ESTUDIANTIL DE ENSEÑANZA MEDIA,17 AVE 27-52,23327777,ERICK GUILLERMO SANCHEZ MARTINEZ,SIN DATO,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
00-05-7952-46,,CIUDAD CAPITAL,ZONA 5,LICEO MIXTO EN COMPUTACION 'GUATEMALTECO SAN CARLOS',22 CALLE 36-49 COLONIA ARRIVILLAGA,23350996,,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA ORIENTE
00-05-7953-46,01-405,CIUDAD CAPITAL,ZONA 5,LICEO MIXTO EN COMPUTACION GUATEMALTECO SAN CARLOS,22 CALLE 36-49 COLONIA ARRIVILLAGA 22 CALLE 36-49 ZONA 5 COLONIA ARRIVILLAGA,23354018,BLANCA SARAI GUTIERREZ PINEDA,LICDA. DORIS ZUNUN CARRERA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA ORIENTE
00-05-7955-46,01-314,CIUDAD CAPITAL,ZONA 5,LICEO MIXTO EN COMPUTACION GUATEMALTECO SAN CARLOS,22 CALLE 36-49 COLONIA ARRIVILLAGA,23354018,PLINIO IVAN HERNANDEZ,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
00-05-8102-46,01-313,CIUDAD CAPITAL,ZONA 5,INSTITUTO ESCRITURA VELOZ (SPEEDWRITING),27 CALLE 23-14,23316077,ERICK GUILLERMO SANCHEZ MARTINEZ,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
00-05-8161-46,,CIUDAD CAPITAL,ZONA 5,CENTRO EDUCACIONAL MINERVA 'CEDMA',13 AVE. 25-74,23325242,,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,FIN DE SEMANA,GUATEMALA ORIENTE
00-05-8233-46,01-313,CIUDAD CAPITAL,ZONA 5,CENTRO EDUCATIVO ACRÓPOLIS,12 CALLE B 40-81 JARDINES DE LA ASUNCION,23360138,ERICK GUILLERMO SANCHEZ MARTINEZ,,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
00-05-8283-46,01-313,CIUDAD CAPITAL,ZONA 5,COLEGIO EVANGELICO MIXTO ADONAI,30 CALLE 16-00 SAN PEDRITO,23354466,ERICK GUILLERMO SANCHEZ MARTINEZ,ANA LUISA GUERRA CASTAÑEDA DE DÁVILA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
00-05-8475-46,01-405,CIUDAD CAPITAL,ZONA 5,CENTRO ESTUDIANTIL DE ENSEÑANZA MEDIA (POR MADUREZ),17 AV. 27-52,23327777,BLANCA SARAI GUTIERREZ PINEDA,SIN DATO,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA ORIENTE
00-05-8531-46,01-,CIUDAD CAPITAL,ZONA 5,LICEO GUATEMALTECO EN ESTUDIOS DE COMPUTACION,19 AVENIDA 27-11 COLONIA SAN PEDRITO,23623262,MARIA FELICITA ROQUE CARRERA,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
00-05-8557-46,01-405,CIUDAD CAPITAL,ZONA 5,LICEO GUATEMALTECO DE ESTUDIOS EN COMPUTACION,19AV. 27-11 ZONA 5 COLONIA SAN PEDRITO,23623262,BLANCA SARAI GUTIERREZ PINEDA,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA ORIENTE
00-05-8861-46,01-405,CIUDAD CAPITAL,ZONA 5,LICEO MIXTO 'NUESTRA SEÑORA DE MEDJUGORJE',21 CALLE 'A' 38-65 COLONIA ARRIVILLAGA,23354385,BLANCA SARAI GUTIERREZ PINEDA,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,FIN DE SEMANA,GUATEMALA ORIENTE
00-05-8862-46,01-405,CIUDAD CAPITAL,ZONA 5,LICEO MIXTO 'NUESTRA SEÑORA DE MEDJUGORJE',21 CALLE 'A' 38-65 COLONIA ARRIVILLAGA,23354385,BLANCA SARAI GUTIERREZ PINEDA,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,FIN DE SEMANA,GUATEMALA ORIENTE
00-05-8941-46,01-313,CIUDAD CAPITAL,ZONA 5,ESCUELA MILITAR DE MÚSICA MAESTRO RAFAEL ALVAREZ OVALLE,23 AVENIDA FINAL 32-36,44974290,ERICK GUILLERMO SANCHEZ MARTINEZ,LESLY ERASMO VELÁSQUEZ RIVERA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),GUATEMALA ORIENTE
00-05-9794-46,99-001,CIUDAD CAPITAL,ZONA 5,INSTITUTO TECNICO FEMENINO,28 AVENIDA A 33-50,,SILVIA EUGENIA VALDEZ MONTERROSO DE CARBALLO,DORIS LEONOR ZUNUN CARRERA,DIVERSIFICADO,OFICIAL,URBANA,TEMPORAL TITULOS,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
00-05-9801-46,99-001,CIUDAD CAPITAL,ZONA 5,INSTITUTO MIXTO NOCTURNO 'JOSE BATRES MONTUFAR',28 CALLE,,SILVIA EUGENIA VALDEZ MONTERROSO DE CARBALLO,,DIVERSIFICADO,PRIVADO,URBANA,TEMPORAL TITULOS,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA ORIENTE
00-05-9827-46,99-001,CIUDAD CAPITAL,ZONA 5,LICEO PARTICULAR MIXTO EPISCOPAL,13 CALL EY 7A. AVENIDA,,SILVIA EUGENIA VALDEZ MONTERROSO DE CARBALLO,,DIVERSIFICADO,PRIVADO,URBANA,TEMPORAL TITULOS,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
00-06-0007-46,01-106,CIUDAD CAPITAL,ZONA 6,LICEO DE CIENCIAS TECNICAS,1A. CALLE 13-59,22881033,CESAR ARNOLDO MARTINEZ GARCIA,CARLOS HUMBERTO BARRIOS LOPEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-06-0008-46,01-106,CIUDAD CAPITAL,ZONA 6,LICEO DE CIENCIAS TECNICAS,1A. CALLE 13-59,22881033,CESAR ARNOLDO MARTINEZ GARCIA,CARLOS HUMBERTO BARRIOS LOPEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-06-0012-46,01-403,CIUDAD CAPITAL,ZONA 6,COLEGIO PANAMERICANO NO. 7,"CALZADA JOSÉ MILLA Y VIDAURRE 17-30, PLAZA JOSÉ MILLA LOCAL 2",22549965,CARLOS HUMBERTO GONZALEZ DE LEON,EMMY LISSETH ORTIZ GARCIA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-06-0013-46,01-101,CIUDAD CAPITAL,ZONA 6,COLEGIO PANAMERICANO NO. 7,"CALZADA JOSÉ MILLA Y VIDAURRE, 17-30, PLAZA JOSÉ MILLA, LOCAL 2",22549967,MARIA ESTELA MARROQUIN CHUR DE ORTEGA,EMMY LISSETH ORTIZ GARCIA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-06-0014-46,01-102,CIUDAD CAPITAL,ZONA 6,COLEGIO PANAMERICANO NO. 7,"CALZADA JOSÉ MILLA Y VIDAURRE 17-30, PLAZA JOSÉ MILLA, LOCAL 2",22549965,ZIZI ARELY LOPEZ CHINCHILLA,CARLOS ALFREDO CARRILLO GARCÍA SALAS,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-06-0021-46,01-403,CIUDAD CAPITAL,ZONA 6,COLEGIO PANAMERICANO NO. 7,"CALZADA JOSE MILLA Y VIDAURRE, 17-30, PLAZA JOSE MILLA, LOCAL 2",55500469,CARLOS HUMBERTO GONZALEZ DE LEON,EMMY LISSETH ORTIZ GARCIA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-06-0022-46,01-102,CIUDAD CAPITAL,ZONA 6,COLEGIO MARIANNE FROSTIG,15 AVENIDA 8-35,40344543,ZIZI ARELY LOPEZ CHINCHILLA,ATALA MARIA ARRIOLA MANSILLA DE CHAVEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-06-0023-46,01-102,CIUDAD CAPITAL,ZONA 6,COLEGIO MARIANNE FROSTIG,15 AVENIDA 8-35,22881700,ZIZI ARELY LOPEZ CHINCHILLA,JULIO ALEJANDRO ORELLANA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-06-0024-46,01-407,CIUDAD CAPITAL,ZONA 6,COLEGIO MARIANNE FROSTIG,15 AVENIDA 8-35,22881700,CARLOS HUMBERTO GONZALEZ DE LEON,JULIO ALEJANDRO ORELLANA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-06-0028-46,01-101,CIUDAD CAPITAL,ZONA 6,LICEO PROFESOR DAVID LETRAN,6TA. CALLE 20-64,44731032,MARIA ESTELA MARROQUIN CHUR DE ORTEGA,ALMA ISABEL OLIVA HERRERA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-06-0032-46,01-403,CIUDAD CAPITAL,ZONA 6,"INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA ""CARLOS BENJAMIN PAIZ AYALA""","FINAL, CALZADA JOSE MILLA Y VIDAURRE Y 26 AVENIDA",22102943,CARLOS HUMBERTO GONZALEZ DE LEON,JOVITA ANTONIETA MIRANDA BARRIOS,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA NORTE
00-06-0033-46,01-403,CIUDAD CAPITAL,ZONA 6,"INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA ""CARLOS BENJAMIN PAIZ AYALA ""","FINAL, CALZADA JOSE MILLA Y VIDAURRE Y 26 AVENIDA",22702943,CARLOS HUMBERTO GONZALEZ DE LEON,JOVITA ANTONIETA MIRANDA BARRIOS,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA NORTE
00-06-0038-46,01-101,CIUDAD CAPITAL,ZONA 6,"""LICEO DE COMPUTACIÓN C.S.S, ZONA 6""",CALLE MARTI 14-49 ZONA 6,22882093,MARIA ESTELA MARROQUIN CHUR DE ORTEGA,LEONEL RAMIRO ALVAREZ CARRERA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-06-0042-46,01-102,CIUDAD CAPITAL,ZONA 6,LICEO TECNOLÓGICO GUATEMALTECO,"15 AVENIDA ""B"" 10-23",22885205,ZIZI ARELY LOPEZ CHINCHILLA,SARA LISETH ARIAS MIJANGOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-06-0045-46,01-403,CIUDAD CAPITAL,ZONA 6,LICEO TECNÓLOGICO GUATEMALTECO,"15 AVENIDA ""B"" 10-23",22885205,CARLOS HUMBERTO GONZALEZ DE LEON,SILVIA LUCRECIA HERNANDEZ ROSALES DE REYES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,FIN DE SEMANA,GUATEMALA NORTE
00-06-0046-46,01-403,CIUDAD CAPITAL,ZONA 6,LICEO TECNÓLOGICO GUATEMALTECO,"15 AVENIDA ""B"" 10-23",22885205,CARLOS HUMBERTO GONZALEZ DE LEON,SILVIA LUCRECIA HERNANDEZ ROSALES DE REYES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,FIN DE SEMANA,GUATEMALA NORTE
00-06-0049-46,01-101,CIUDAD CAPITAL,ZONA 6,LICEO MIXTO BILINGÜE JOSÉ MARÍA ORELLANA,17 AVENIDA 21-97 PROYECTO 4-4,22542497,MARIA ESTELA MARROQUIN CHUR DE ORTEGA,LILY PATRICIA MENDIZABAL ARRIOLA DE RODRIGUEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-06-0050-46,01-102,CIUDAD CAPITAL,ZONA 6,"COLEGIO PRIVADO ""TERESA DE AVILA""",15 AVENIDA 5-45,22880382,ZIZI ARELY LOPEZ CHINCHILLA,SILVIA LILIANA BARRILLAS MARROQUIN DE CANO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-06-0051-46,01-102,CIUDAD CAPITAL,ZONA 6,"COLEGIO PRIVADO ""TERESA DE AVILA""",15 AVENIDA 5-45,22703364,ZIZI ARELY LOPEZ CHINCHILLA,SILVIA LILIANA BARILLAS MARROQUN DE CANO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-06-0053-46,01-403,CIUDAD CAPITAL,ZONA 6,LICEO DE COMPUTACIÓN C.S.S.,CALLE MARTI 14-49,22882093,CARLOS HUMBERTO GONZALEZ DE LEON,LEONEL RAMIRO ALVAREZ CABRERA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-06-0055-46,01-101,CIUDAD CAPITAL,ZONA 6,"COLEGIO CRISTIANO ""SEMILLAS DE AMOR""","5A. CALLE ""A"" 17-15",22544806,MARIA ESTELA MARROQUIN CHUR DE ORTEGA,EVGENY FRINE POLANCO VILLATORO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-06-0056-46,01-101,CIUDAD CAPITAL,ZONA 6,"ESCUELA EXPERIMENTAL CON ORIENTACIÓN OCUPACIONAL ""VILLA DE LOS NIÑOS""",16 AVENIDA FINAL 22-99 PROYECTO 4-4,22543139,MARIA ESTELA MARROQUIN CHUR DE ORTEGA,JULIO CARLOS HERNANDEZ DIEGUEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),GUATEMALA NORTE
00-06-0057-46,01-403,CIUDAD CAPITAL,ZONA 6,"INSTITUTO MIXTO PRIVADO ""JOSÉ ERNESTO MONZÓN",21 AVEIDA 15-42,22886512,CARLOS HUMBERTO GONZALEZ DE LEON,LILIAN ESPERANZA GONZLEZ DE LEON,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,FIN DE SEMANA,GUATEMALA NORTE
00-06-0058-46,01-101,CIUDAD CAPITAL,ZONA 6,COLEGIO PANAMERICANO NO. 7,"CALZADA JOS MILLA Y VIDAURRE 17-30, PLAZA JOSE MILLA, LOCAL 2",22549967,MARIA ESTELA MARROQUIN CHUR DE ORTEGA,EMMY LISSETH ORTIZ GARCIA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-06-0059-46,01-102,CIUDAD CAPITAL,ZONA 6,COLEGIO MIXTO CIPRESALES,15 AVENIDA 15-49,22882123,ZIZI ARELY LOPEZ CHINCHILLA,EMMA ETELVINA ORELLLANA RAMIREZ DE CANO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-06-0062-46,01-403,CIUDAD CAPITAL,ZONA 6,"""COLEGIO POLITÉCNICO""",21 AVENIDA 15-42,22219364,CARLOS HUMBERTO GONZALEZ DE LEON,YUDY JANET ORELLANA GALINDO DE PEREZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,FIN DE SEMANA,GUATEMALA NORTE
00-06-0064-46,01-403,CIUDAD CAPITAL,ZONA 6,COLEGIO CLÁSICO GUATEMALTECO,15 AVENIDA 07-61,52394686,CARLOS HUMBERTO GONZALEZ DE LEON,RONY ARTURO CHINCHILLA CRISTALES,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-06-0065-46,01-403,CIUDAD CAPITAL,ZONA 6,COLEGIO CLÁSICO GUATEMALTECO,15 AVENIDA 07-61,52394686,CARLOS HUMBERTO GONZALEZ DE LEON,RONY ARTURO CHINCHILLA CRISTALES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-06-0069-46,01-102,CIUDAD CAPITAL,ZONA 6,COLEGIO CLÁSICO GUATEMALTECO,15 AVENIDA 07-61,52394686,ZIZI ARELY LOPEZ CHINCHILLA,RONY ARTURO CHINCHILLA CRISTALES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-06-0073-46,01-101,CIUDAD CAPITAL,ZONA 6,LICEO MIXTO BILINGÜE JOSE MARIA ORELLANA,"17 AVENIDA 21-97, PROYECTO 4-4",22542497,MARIA ESTELA MARROQUIN CHUR DE ORTEGA,HECTOR RONALDO CLAVERIA SANDOVAL,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-06-0074-46,01-102,CIUDAD CAPITAL,ZONA 6,LICEO DE COMPUTACIÓN C.S.S.,CALLE MARTI 14-49,22882093,ZIZI ARELY LOPEZ CHINCHILLA,LEONEL RAMIRO ALVAREZ CARRERA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),GUATEMALA NORTE
00-06-0077-46,01-648,CIUDAD CAPITAL,ZONA 6,"INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA ""DOCTORA SARA CABARRUS DE RUÍZ""",FINAL CALZADA JOSE MILLA Y VIDAURRE Y 26 AVENIDA,22702943,ESWIN NOE ROSALES LOPEZ,JOVITA ANTONIETA MIRANDA BARRIOS DE ESTRADA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA NORTE
00-06-0078-46,01-403,CIUDAD CAPITAL,ZONA 6,"INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA ""DOCTORA SARA CABARRUS DE RUÍZ""",FINAL CALZADA JOSÉ MILLA Y VÍDAURRE Y 26 AVENIDA,22702943,CARLOS HUMBERTO GONZALEZ DE LEON,JOVITA ANTONIETA MIRANDA BARRIOS DE ESTRADA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA NORTE
00-06-0079-46,01-101,CIUDAD CAPITAL,ZONA 6,"ESCUELA EXPERIMENTAL CON ORIENTACION OCUPACIONAL ""VILLA DE LOS NIÑOS""",16 AVENIDA FINAL 22-99 PROYECTO 4-4,22543170,MARIA ESTELA MARROQUIN CHUR DE ORTEGA,VICTOR EMILIO GÓMEZ MENDOZA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-06-0081-46,01-648,CIUDAD CAPITAL,ZONA 6,"INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA ""DOCTORA SARA CABARRUZ DE RUÍZ""",FINAL CALZADA JOSÉ MILLA Y VIDAUDRRE Y 26 AVENIDA,22702943,ESWIN NOE ROSALES LOPEZ,JOVITA ANTONIETA MIRANDA BARRIOS,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA NORTE
00-06-0083-46,01-403,CIUDAD CAPITAL,ZONA 6,"LICEO DE COMPUTACIÓN C.S.S. ""ZONA 6""",CALLE MARTI 14-49,22882093,CARLOS HUMBERTO GONZALEZ DE LEON,LEONEL RAMIRO ALVAREZ CARRERA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),GUATEMALA NORTE
